feature,univariable_f_score,selected
num__WashinRate_map_Cluster_Prominence_tumor,6.19662333830305,True
num__2nd_DFT_CoeffMap_Momment_Invariant_4_2D_tumorSlice,6.115914356974453,True
num__Grouping_based_proportion_of_3D_tissue_T1_Group_2,5.568122394370858,True
num__Grouping_based_proportion_of_3D_tissue_PostCon_Group_2,4.445898450708485,True
num__WashinRate_map_Contrast_tumor,4.376224395838528,True
num__WashinRate_map_inverse_difference_moment_normalized_tumor,4.180372092391802,True
num__WashinRate_map_sum_entropy_tumor,3.9861654402834654,True
num__WashinRate_map_information_measure_correlation2_tumor,3.7803200508982857,True
num__SER_map_mean_tissue_PostCon,3.679855030011242,True
num__PE_map_Dissimilarity_tissue_PostCon,3.5733725159333387,True
num__PE_map_inverse_difference_normalized_tissue_PostCon,3.505614939070808,True
num__WashinRate_map_Dissimilarity_tumor,3.472108666210309,True
num__WashinRate_map_information_measure_correlation1_tumor,3.4477273535601185,True
num__Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_3,3.2632175228131994,True
num__Ratio_Tissue_vol_enhancing_more_than_100percent_from_T1_to_Tissue_Vol,3.2317183082028027,True
num__Ratio_Tissue_vol_enhancing_more_than_90percent_from_T1_to_Tissue_Vol,3.169590000679305,True
num__Staging(Nodes)#(Nx replaced by -1)[N],3.1395473732549104,True
num__Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_T1_Group_3,3.107935482966474,True
num__WashinRate_map_inverse_difference_normalized_tumor,3.0548457571640117,True
num__PE_map_inverse_difference_moment_normalized_tissue_PostCon,3.027647490786035,True
