feature,univariable_f_score,selected
num__LD_pch_T0_T2,25.292360133642255,True
num__LD_T2,21.450261003221858,True
num__LD_T3,17.939225048350174,True
num__LD_pch_T0_T3,15.614498826869292,True
num__LD_T1,6.6588285185027365,True
num__VOLUME_TUM_BLU_V20,5.980603640336341,True
num__VOLUME_TUM_BLU_V30,5.644570031376269,True
num__LD_T0,5.029903386716674,True
num__VOLUME_TUM_BLU_V10,4.907088644218189,True
num__BPE_5slice_mean_T3,3.982129702395862,True
num__VOLUME_TUM_BLU_V40,3.810035520379554,True
num__FTV_pch_T0_T2,3.6736817737755283,True
cat__Race_Black or African American,3.4418504666922414,True
num__BPE_pch_T0_T1,3.116668558176035,True
num__BPE_5slice_mean_T1,3.058909617156195,True
num__SPHERICITY_T2,3.0538201915821745,True
cat__Race_White,2.954076853884705,True
num__FTV_pch_T0_T1,2.298641694905798,True
num__LD_pch_T0_T1,1.9021029718702254,True
num__FTV_pch_T0_T3,1.7500658829037476,True
